,,,,,,,,,,,,
DANH SÁCH BỆNH THEO DANH MỤC ICD,,,,,,,,,,,,
Ngày 19 tháng 08 năm 2021,,,,,,,,,,,,
,,,,,,,,,,,,
STT,Mã,Tên bệnh ,Nhóm bệnh,Mãn tính,Bệnh của,Thường gập,Bệnh năm,Không BH,Ngoài DS,Chuyên khoa,Mô tả,Hiệu lực
113,T28.5,Ăn mòn tại miệng và thanh quản,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
114,T28.6,Ăn mòn tại thực quản,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
115,T28.7,Ăn mòn tại phần khác của đường tiêu hóa,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
116,T28.8,"Ăn mòn tại phần trong của đường sinh dục, tiết niệu",Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
117,T28.9,Ăn mòn tại nơi khác và các nội tạng chưa xác định,Bỏng và ăn mòn,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
118,T49.1,Ngộ độc Thuốc chống ngứa,"Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
119,T49.2,Ngộ độc Thuốc làm săn da tại chỗ và thuốc sát trùng tại chỗ,"Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
120,T49.3,"Ngộ độc Thuốc làm mềm da, làm dịu da và bảo vệ da","Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
121,T49.4,"Ngộ độc Thuốc làm tróc lớp sừng, tạo hình lớp sừng và thuốc và các chế phẩm điều trị tóc khác","Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
122,T49.5,Ngộ độc Thuốc và chế phẩm điều trị mắt,"Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
123,T49.6,"Ngộ độc Thuốc và chế phẩm điều trị tai, mũi, họng","Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
124,T49.7,Ngộ độc Thuốc nha khoa bôi tại chỗ,"Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
125,T49.8,Ngộ độc Thuốc dùng tại chỗ khác,"Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
126,T49.9,"Ngộ độc Thuốc dùng tại chỗ, chưa xác định","Ngộ độc do thuốc, dược phẩm và chất sinh học",,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
127,X93,Tấn công bằng đạn súng tay,Tấn công,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
128,X94,"Tấn công bằng súng trường, súng ngắn và súng lớn hơn",Tấn công,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
129,X95,Tấn công bằng súng khác và không rõ đặc điểm,Tấn công,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
130,X96,Tấn công bằng chất nổ,Tấn công,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
